Feature,Gini
Индекс должной осмотрительности,0.200214814617534
Индекс финансового риска,0.19544497388940285
month_co_owners,0.17391068937040188
month_change_director,0.1738114308556491
"7 - массовый контактный телефон: в заявке указан телефон, на который зарегистрировано более Х компаний (кроме компаний-агентов)",0.15643618659237823
код основного оквэд,0.15250159343073721
Тип организации,0.14975661265160722
Субъект местонахождения,0.1350104125940843
month,0.12587509956984366
Индекс финансового риска описание,0.12266447778416101
Количество компаний с аналогичным директором в том же регионе,0.11943734601923173
8 - Количество компаний с аналогичным директором в том же регионе,0.11943734601923173
Количество видов деятельности у Клиента,0.11555512486487363
Заявки до даты,0.1096595801190634
"Выручка компании (млн, руб)",0.10727627560905195
Пассивы всего,0.10668468202597459
Чистая прибыль (или убыток) компании,0.10511229941196532
ОПФ Организации,0.10452197406422048
чистая прибыль/пассивы,0.1040689772111405
Количество соучредителей,0.10351172530169372
История смены сооучредителей,0.09752050518794597
Индекс должной осмотрительности описание,0.09536249580890255
Численность компании,0.07957213315364742
размер уставного капитал ЮЛ,0.07893152151094429
Сумма налога,0.07698056301000356
Отчетный период (год),0.07641966683396695
чистая прибыль/выручка,0.0707325328812547
8 - Количество компаний с аналогичным директором,0.06481975999883982
hour,0.06398581886754284
"Количество компаний, зарегистрированных на адресе регистрации Организации по данным сайта ФНС",0.06226264612840504
25 - Государственные заказы и контракты Приняла участие (количество),0.06120551085840931
Кредиты,0.06091736931870084
25 - Государственные заказы и контракты Количество заключенных контрактов,0.05990123777782119
"Компания входит в: Юридические лица, в состав исполнительных органов которых входят дисквалифицированные лица",0.05668441997493878
"17 - Юр. лица, имеющие задолженность по уплате налогов",0.05668441997493878
"4 - Реестр операторов, осуществляющих обработку персональных данных",0.05668441997493878
"17 - Юр. лица, не предоставляющие налоговую отчетность более года",0.05668441997493878
4 - Перечень ОАО по Распоряжению Правительства № 91-Р,0.05668441997493878
"4 - Перечень ФГУП, имеющих существенное значение ",0.05668441997493878
4 - Реестр оборонно-промышленного комплекса,0.05668441997493878
25 - Коммерческие заказы и контракты Приняла участие (количество),0.05460148095965445
Участие в госконтрактах (количество),0.05288406111934707
25 - Коммерческие заказы и контракты Количество заключенных контрактов,0.05288406111934707
Участие в госконтрактах (год),0.05223284519566551
has_products,0.05110709533815472
"налоги/Выручка компании (млн, руб)",0.0506578344313271
Продукт открыт ранее,0.046791130059871344
"6 - Организация, первое лицо, учредители входит в список «дисквалифицированных»",0.046605027984682135
2 - В учредителях/участниках/ акционерах клиента участие государства  более 50 ,0.0446073663355977
no_reports,0.04455595696477177
Количество филиалов,0.035875420907061084
weekday,0.014116207975742645
Продукт ранее закрыт,0.005860156396030769
Индекс платежной дисциплины,0.003832439097543938
Индекс платежной дисциплины описание,0.003832439097543938
Количество дочерних,0.003759095367431353
